,ID,Mandát,Název strany,Politická příslušnost,Rok,Titul,Věk,"příjmení, jméno, tituly",v %
0,Bis Jiří Ing.1941,True,Česká str.sociálně demokrat.,ČSSD,2002,True,61.0,Bis Jiří Ing.,2.67
1,Chovanec Milan1970,True,Česká str.sociálně demokrat.,ČSSD,2002,False,32.0,Chovanec Milan,2.33
2,Brabec Miroslav Mgr.1955,True,Česká str.sociálně demokrat.,ČSSD,2002,True,47.0,Brabec Miroslav Mgr.,2.45
3,Osvald Petr Ing.1966,True,Česká str.sociálně demokrat.,ČSSD,2002,True,36.0,Osvald Petr Ing.,2.32
4,Šimák Miloslav Ing.1950,True,Česká str.sociálně demokrat.,ČSSD,2002,True,52.0,Šimák Miloslav Ing.,2.28
5,Pavelková Milena Mgr.1946,True,Česká str.sociálně demokrat.,ČSSD,2002,True,56.0,Pavelková Milena Mgr.,2.3
6,Houška Josef Mgr.1947,True,Česká str.sociálně demokrat.,ČSSD,2002,True,55.0,Houška Josef Mgr.,2.25
7,Liška Jiří MUDr. CSc.1944,True,Česká str.sociálně demokrat.,ČSSD,2002,True,58.0,Liška Jiří MUDr. CSc.,2.4
8,Neuberg Lumír Ing.1965,True,Česká str.sociálně demokrat.,ČSSD,2002,True,37.0,Neuberg Lumír Ing.,2.22
9,Otásek Petr1950,True,Česká str.sociálně demokrat.,ČSSD,2002,False,52.0,Otásek Petr,2.25
10,Štěrba Miroslav1954,True,Česká str.sociálně demokrat.,ČSSD,2002,False,48.0,Štěrba Miroslav,2.27
11,Krupička Jaroslav1942,True,Česká str.sociálně demokrat.,ČSSD,2002,False,60.0,Krupička Jaroslav,2.19
12,Průša Josef Doc. Ing. CSc.1939,True,Česká str.sociálně demokrat.,ČSSD,2002,True,63.0,Průša Josef Doc. Ing. CSc.,2.35
13,Melichar Daniel1973,True,Česká str.sociálně demokrat.,ČSSD,2002,False,29.0,Melichar Daniel,2.17
14,Lisenko Radim1973,True,Česká str.sociálně demokrat.,ČSSD,2002,False,29.0,Lisenko Radim,2.15
15,Veverková Pravoslava1947,True,Česká str.sociálně demokrat.,ČSSD,2002,False,55.0,Veverková Pravoslava,2.3
