,% hlasů,Název strany,Počet hlasů,Počet kandidátů,Počet mandátů,Přepočtené % platných hlasů,Přepočtený základ dle počtu kandidátů,Rok,Číslo
0,20.59,Česká str.sociálně demokrat.,403 889,47,10,20.59,1 961 394.00,2002,1
1,0.45,Strana za životní jistoty,8 820,15,0,1.4,625 976.80,2002,2
2,37.89,Občanská demokratická strana,743 089,47,20,37.88,1 961 394.00,2002,3
3,9.34,Pravá volba pro Plzeň,183 245,47,4,9.34,1 961 394.00,2002,4
4,3.66,Strana zelených,71 830,47,0,3.66,1 961 394.00,2002,5
5,1.33,Občanská demokratická aliance,26 005,37,0,1.68,1 544 076.12,2002,6
6,13.26,Komunistická str.Čech a Moravy,260 123,46,7,13.55,1 919 662.21,2002,7
7,7.43,Křesť.demokr.unie-Čs.str.lid.,145 680,47,3,7.42,1 961 394.00,2002,8
8,6.05,"Koalice US-DEU, SNK",118 713,47,3,6.05,1 961 394.00,2002,9
9,7.58,Plzeňská aliance,168 750,47,3,7.57,"2 226 286,00",2006,1
10,12.48,Komunistická str.Čech a Moravy,277 883,47,6,12.48,"2 226 286,00",2006,2
11,45.23,Občanská demokratická strana,1 007 049,47,22,45.23,"2 226 286,00",2006,3
12,0.1,Koruna Česká (monarch.strana),2 263,7,0,0.68,"331 574,51",2006,4
13,7.98,Pravá volba pro Plzeň,177 562,47,3,7.97,"2 226 286,00",2006,5
14,6.35,Křesť.demokr.unie-Čs.str.lid.,141 259,47,3,6.34,"2 226 286,00",2006,6
15,20.28,Česká str.sociálně demokrat.,451 520,47,10,20.28,"2 226 286,00",2006,7
16,24.78,Občanská demokratická strana,565 614,47,14,24.77,"2 282 696,00",2010,1
17,5.04,Pravá volba pro Plzeň,115 104,47,2,5.04,"2 282 696,00",2010,2
18,4.51,Plzeňská aliance,102 860,47,0,4.5,"2 282 696,00",2010,3
19,0.06,Volte Pr.Blok www.cibulka.net,1 472,4,0,0.75,"194 272,00",2010,4
20,9.06,OBČANÉ.CZ,206 734,44,5,9.67,"2 136 992,00",2010,5
21,0.19,Dělnic.str.sociální spravedl.,4 321,15,0,0.59,"728 520,00",2010,6
22,23.81,Česká str.sociálně demokrat.,543 564,47,14,23.81,"2 282 696,00",2010,7
23,0.82,Česká pirátská strana,18 733,47,0,0.82,"2 282 696,00",2010,8
24,2.07,Suverenita-blok J.Bobošíkové,47 184,47,0,2.06,"2 282 696,00",2010,9
25,4.32,Křesť.demokr.unie-Čs.str.lid.,98 644,47,0,4.32,"2 282 696,00",2010,10
26,0.63,Strana Práv Občanů ZEMANOVCI,14 336,43,0,0.68,"2 088 424,00",2010,11
27,2.66,Věci veřejné,60 762,47,0,2.66,"2 282 696,00",2010,12
28,0.04,Balbínova poetická strana,907,4,0,0.46,"194 272,00",2010,13
29,12.31,TOP 09,280 985,47,7,12.3,"2 282 696,00",2010,14
30,9.7,Komunistická str.Čech a Moravy,221 476,47,5,9.7,"2 282 696,00",2010,15
31,2.91,VEŘEJNÉ ZÁJMY PLZNĚ,53 661,47,0,2.91,"1 842 614,00",2014,1
32,2.74,Pravá volba pro Plzeň (PVP),50 469,47,0,2.73,"1 842 614,00",2014,2
33,2.23,Strana svobodných občanů,41 131,47,0,2.23,"1 842 614,00",2014,3
34,2.48,Změna pro Plzeň,45 763,47,0,2.48,"1 842 614,00",2014,4
35,4.78,Společně za Plzeň,88 100,47,0,4.78,"1 842 614,00",2014,5
36,9.05,TOP 09,166 696,47,5,9.04,"1 842 614,00",2014,6
37,0.11,Volební strana REPUBLIKA,2 025,32,0,0.16,"1 254 545,70",2014,7
38,0.05,Sdružení DSZ a NK,844,13,0,0.16,"509 659,19",2014,8
39,1.79,Plzeň pro sport,32 906,47,0,1.78,"1 842 614,00",2014,9
40,8.3,Komunistická str.Čech a Moravy,152 903,46,5,8.47,"1 803 409,44",2014,10
41,17.9,ANO 2011,329 815,47,10,17.89,"1 842 614,00",2014,11
42,0.13,Strana Práv Občanů,2 358,18,0,0.33,"705 681,95",2014,12
43,16.45,Česká str.sociálně demokrat.,303 042,47,10,16.44,"1 842 614,00",2014,13
44,7.31,Občané patrioti,134 761,47,4,7.31,"1 842 614,00",2014,14
45,0.55,DSSS-Za Plz. bez hazar. a nepř,10 215,30,0,0.86,"1 176 136,59",2014,15
46,17.55,Občanská demokratická strana,323 390,47,10,17.55,"1 842 614,00",2014,16
47,5.67,Křesť.demokr.unie-Čs.str.lid.,104 535,47,3,5.67,"1 842 614,00",2014,17
48,0.61,Koruna Česká (monarch.strana),13 486,47,0,0.61,"2 199 887,00",2018,1
49,11.69,Česká pirátská strana,257 260,47,7,11.69,"2 199 887,00",2018,2
50,6.56,KDU-ČSL- PRAVÁ VOLBA PRO PLZEŇ,144 203,47,4,6.55,"2 199 887,00",2018,3
51,4.79,PRO PLZEŇ,105 272,47,0,4.78,"2 199 887,00",2018,4
52,6.83,TOP 09,150 150,47,4,6.82,"2 199 887,00",2018,5
53,4.95,Svob.a př.dem.-T.Okamura (SPD),108 882,47,0,4.94,"2 199 887,00",2018,6
54,22.11,Občanská demokratická strana,486 401,47,13,22.11,"2 199 887,00",2018,7
55,2.75,NOVÁ PLZEŇ s Jiřím Strobachem,60 597,47,0,2.75,"2 199 887,00",2018,8
56,22.2,ANO 2011,488 324,47,13,22.19,"2 199 887,00",2018,9
57,3.65,PATRIOTI STAROST. S PODP. SVOB,80 381,43,0,3.99,"2 012 662,57",2018,10
58,5.64,Komunistická str.Čech a Moravy,124 055,47,3,5.63,"2 199 887,00",2018,11
59,0.48,Česká Plzeň - Naše Šance,10 589,47,0,0.48,"2 199 887,00",2018,12
60,6.41,Česká str.sociálně demokrat.,141 073,46,3,6.55,"2 153 080,89",2018,13
61,0.06,Demokrat. strana zelených a NK,1 328,17,0,0.16,"795 703,80",2018,14
62,0.39,Strana soukromníků ČR,8 549,47,0,0.38,"2 199 887,00",2018,15
63,0.88,VEŘEJNÉ ZÁJMY PLZNĚ,19 337,47,0,0.87,"2 199 887,00",2018,16
